port_id,channel_id
15,1
15,2
16,2
27,3
28,4
17,5
8,5
17,6
18,6
20,7
9,7
20,8
21,8
22,9
10,9
11,10
13,11
12,12
14,13
19,14
23,15
24,15
25,16
26,16
14,17
12,18
11,19
13,20
19,21
15,22
27,23
28,24
